"EVENTNAME","REGION","REGION2","x","y","DATE","YEAR","MONTH","period"
"1989001","SOUTH CAROLINA","South","-80.288","32.395","04-12-1989","1989","04","other"
"1989003","SOUTH CAROLINA","South","-80.178","32.492","04-12-1989","1989","04","other"
"1989015","SOUTH CAROLINA","South","-79.95","32.597","04-14-1989","1989","04","other"
"1989017","ONSLOW BAY","North","-77.887","33.713","04-17-1989","1989","04","other"
"1989019","ONSLOW BAY","North","-77.897","33.737","04-17-1989","1989","04","other"
"1989021","ONSLOW BAY","North","-77.913","33.91","04-17-1989","1989","04","other"
"1989023","ONSLOW BAY","North","-77.88","34.048","04-18-1989","1989","04","other"
"1989029","RALEIGH BAY","North","-76.343","34.79","04-19-1989","1989","04","other"
"1989031","RALEIGH BAY","North","-76.105","34.985","04-19-1989","1989","04","other"
"1989035","RALEIGH BAY","North","-75.583","35.217","04-19-1989","1989","04","other"
"1989037","ONSLOW BAY","North","-76.618","34.652","04-20-1989","1989","04","other"
"1989039","ONSLOW BAY","North","-76.498","34.507","04-20-1989","1989","04","other"
"1989045","SOUTH CAROLINA","South","-79.15","33.137","04-26-1989","1989","04","other"
"1989049","SOUTH CAROLINA","South","-79.1","33.05","04-27-1989","1989","04","other"
"1989051","SOUTH CAROLINA","South","-79.268","32.983","04-27-1989","1989","04","other"
"1989053","SOUTH CAROLINA","South","-79.438","32.912","04-27-1989","1989","04","other"
"1989059","SOUTH CAROLINA","South","-79.673","32.807","04-28-1989","1989","04","other"
"1989063","FLORIDA","South","-80.807","28.922","05-02-1989","1989","05","other"
"1989065","FLORIDA","South","-80.822","28.947","05-02-1989","1989","05","other"
"1989069","FLORIDA","South","-80.997","29.233","05-03-1989","1989","05","other"
"1989073","FLORIDA","South","-81.17","29.598","05-04-1989","1989","05","other"
"1989077","GEORGIA","South","-81.312","30.883","05-04-1989","1989","05","other"
"1989079","GEORGIA","South","-81.31","30.917","05-04-1989","1989","05","other"
"1989081","GEORGIA","South","-81.3","31.042","05-05-1989","1989","05","other"
"1989085","GEORGIA","South","-81.2","31.308","05-05-1989","1989","05","other"
"1989089","LONG BAY","North","-77.967","33.783","05-15-1989","1989","05","other"
"1989091","LONG BAY","North","-77.87","33.627","05-16-1989","1989","05","other"
"1989099","ONSLOW BAY","North","-77.122","34.612","05-16-1989","1989","05","other"
"1989107","LONG BAY","North","-78.342","33.888","05-17-1989","1989","05","other"
"1989113","LONG BAY","North","-78.555","33.818","05-18-1989","1989","05","other"
"1989115","LONG BAY","North","-78.638","33.788","05-18-1989","1989","05","other"
"1989117","LONG BAY","North","-78.682","33.783","05-19-1989","1989","05","other"
"1989125","GEORGIA","South","-80.75","31.97","05-22-1989","1989","05","other"
"1989129","GEORGIA","South","-80.887","31.852","05-23-1989","1989","05","other"
"1989139","FLORIDA","South","-81.382","30.33","05-24-1989","1989","05","other"
"1989149","GEORGIA","South","-81.435","30.752","05-25-1989","1989","05","other"
"1989151","GEORGIA","South","-81.4","30.775","05-25-1989","1989","05","other"
"1989155","SOUTH CAROLINA","South","-80.53","32.237","05-25-1989","1989","05","other"
"1989157","SOUTH CAROLINA","South","-80.467","32.277","05-26-1989","1989","05","other"
"1989161","LONG BAY","North","-79.043","33.443","05-30-1989","1989","05","other"
"1989163","LONG BAY","North","-79.12","33.372","05-30-1989","1989","05","other"
"1989165","LONG BAY","North","-79.105","33.353","05-31-1989","1989","05","other"
"1989167","LONG BAY","North","-79.12","33.347","05-31-1989","1989","05","other"
"1989177","LONG BAY","North","-79.12","33.325","06-01-1989","1989","06","other"
"1989179","LONG BAY","North","-79.122","33.302","06-01-1989","1989","06","other"
"1989181","SOUTH CAROLINA","South","-79.138","33.22","06-01-1989","1989","06","other"
"1989183","SOUTH CAROLINA","South","-79.113","33.2","06-01-1989","1989","06","other"
"1989197","GEORGIA","South","-81.157","31.378","06-08-1989","1989","06","other"
"1989199","GEORGIA","South","-81.107","31.432","06-08-1989","1989","06","other"
"1989201","GEORGIA","South","-81.088","31.583","06-08-1989","1989","06","other"
"1989203","SOUTH CAROLINA","South","-79.647","32.84","06-14-1989","1989","06","other"
"1989205","GEORGIA","South","-81.065","31.583","06-15-1989","1989","06","other"
"1989213","LONG BAY","North","-78.682","33.785","07-18-1989","1989","07","other"
"1989215","LONG BAY","North","-78.642","33.79","07-18-1989","1989","07","other"
"1989217","LONG BAY","North","-78.557","33.82","07-18-1989","1989","07","other"
"1989219","LONG BAY","North","-78.342","33.887","07-18-1989","1989","07","other"
"1989221","LONG BAY","North","-77.965","33.783","07-18-1989","1989","07","other"
"1989223","LONG BAY","North","-77.872","33.625","07-18-1989","1989","07","other"
"1989225","ONSLOW BAY","North","-77.885","33.712","07-18-1989","1989","07","other"
"1989227","ONSLOW BAY","North","-77.897","33.735","07-18-1989","1989","07","other"
"1989229","RALEIGH BAY","North","-75.933","35.093","07-19-1989","1989","07","other"
"1989231","RALEIGH BAY","North","-76.108","34.983","07-19-1989","1989","07","other"
"1989233","RALEIGH BAY","North","-76.343","34.792","07-19-1989","1989","07","other"
"1989235","ONSLOW BAY","North","-76.495","34.508","07-19-1989","1989","07","other"
"1989237","ONSLOW BAY","North","-76.617","34.653","07-19-1989","1989","07","other"
"1989239","ONSLOW BAY","North","-77.122","34.608","07-20-1989","1989","07","other"
"1989241","ONSLOW BAY","North","-77.88","34.048","07-20-1989","1989","07","other"
"1989243","ONSLOW BAY","North","-77.908","33.913","07-20-1989","1989","07","other"
"1989245","LONG BAY","North","-79.048","33.438","07-21-1989","1989","07","other"
"1989247","LONG BAY","North","-79.112","33.38","07-21-1989","1989","07","other"
"1989249","LONG BAY","North","-79.108","33.353","07-21-1989","1989","07","other"
"1989251","LONG BAY","North","-79.117","33.347","07-21-1989","1989","07","other"
"1989253","LONG BAY","North","-79.12","33.322","07-21-1989","1989","07","other"
"1989255","LONG BAY","North","-79.122","33.303","07-21-1989","1989","07","other"
"1989257","SOUTH CAROLINA","South","-79.132","33.222","07-21-1989","1989","07","other"
"1989259","SOUTH CAROLINA","South","-79.117","33.198","07-21-1989","1989","07","other"
"1989261","SOUTH CAROLINA","South","-79.148","33.138","07-21-1989","1989","07","other"
"1989263","SOUTH CAROLINA","South","-79.102","33.05","07-21-1989","1989","07","other"
"1989265","SOUTH CAROLINA","South","-79.267","32.998","07-22-1989","1989","07","other"
"1989267","SOUTH CAROLINA","South","-79.433","32.913","07-22-1989","1989","07","other"
"1989269","SOUTH CAROLINA","South","-79.647","32.842","07-22-1989","1989","07","other"
"1989271","SOUTH CAROLINA","South","-79.673","32.807","07-22-1989","1989","07","other"
"1989273","SOUTH CAROLINA","South","-79.95","32.597","07-22-1989","1989","07","other"
"1989275","SOUTH CAROLINA","South","-80.272","32.395","07-31-1989","1989","07","other"
"1989277","SOUTH CAROLINA","South","-80.287","32.397","07-31-1989","1989","07","other"
"1989281","SOUTH CAROLINA","South","-80.467","32.277","07-31-1989","1989","07","other"
"1989283","SOUTH CAROLINA","South","-80.532","32.237","07-31-1989","1989","07","other"
"1989285","GEORGIA","South","-81.288","31.052","08-01-1989","1989","08","other"
"1989287","GEORGIA","South","-81.305","30.925","08-01-1989","1989","08","other"
"1989289","GEORGIA","South","-81.31","30.887","08-01-1989","1989","08","other"
"1989291","GEORGIA","South","-81.387","30.787","08-01-1989","1989","08","other"
"1989293","GEORGIA","South","-81.435","30.752","08-01-1989","1989","08","other"
"1989295","FLORIDA","South","-81.382","30.33","08-01-1989","1989","08","other"
"1989297","FLORIDA","South","-80.808","28.925","08-02-1989","1989","08","other"
"1989299","FLORIDA","South","-80.822","28.947","08-02-1989","1989","08","other"
"1989301","FLORIDA","South","-80.997","29.232","08-02-1989","1989","08","other"
"1989303","FLORIDA","South","-81.17","29.598","08-02-1989","1989","08","other"
"1989305","GEORGIA","South","-81.195","31.297","08-03-1989","1989","08","other"
"1989307","GEORGIA","South","-81.162","31.372","08-03-1989","1989","08","other"
"1989309","GEORGIA","South","-81.115","31.422","08-03-1989","1989","08","other"
"1989311","GEORGIA","South","-81.09","31.587","08-03-1989","1989","08","other"
"1989313","GEORGIA","South","-81.07","31.583","08-03-1989","1989","08","other"
"1989315","GEORGIA","South","-80.897","31.843","08-03-1989","1989","08","other"
"1989317","GEORGIA","South","-80.75","31.97","08-03-1989","1989","08","other"
"1989323","ONSLOW BAY","North","-77.885","33.712","10-10-1989","1989","10","other"
"1989325","ONSLOW BAY","North","-77.893","33.738","10-10-1989","1989","10","other"
"1989327","ONSLOW BAY","North","-77.91","33.91","10-10-1989","1989","10","other"
"1989329","ONSLOW BAY","North","-77.86","34.042","10-10-1989","1989","10","other"
"1989335","RALEIGH BAY","North","-75.932","35.088","10-11-1989","1989","10","other"
"1989337","RALEIGH BAY","North","-76.107","34.982","10-11-1989","1989","10","other"
"1989339","RALEIGH BAY","North","-76.33","34.803","10-11-1989","1989","10","other"
"1989343","ONSLOW BAY","North","-76.495","34.498","10-12-1989","1989","10","other"
"1989347","ONSLOW BAY","North","-76.617","34.653","10-12-1989","1989","10","other"
"1989353","ONSLOW BAY","North","-77.123","34.613","10-12-1989","1989","10","other"
"1989371","LONG BAY","North","-77.958","33.77","10-18-1989","1989","10","other"
"1989375","LONG BAY","North","-78.213","33.897","10-18-1989","1989","10","other"
"1989379","SOUTH CAROLINA","South","-79.437","32.912","10-23-1989","1989","10","other"
"1989381","SOUTH CAROLINA","South","-79.26","32.997","10-23-1989","1989","10","other"
"1989383","SOUTH CAROLINA","South","-79.1","33.05","10-23-1989","1989","10","other"
"1989385","SOUTH CAROLINA","South","-79.148","33.137","10-23-1989","1989","10","other"
"1989387","LONG BAY","North","-78.343","33.887","10-24-1989","1989","10","other"
"1989393","LONG BAY","North","-78.553","33.818","10-24-1989","1989","10","other"
"1989395","LONG BAY","North","-78.637","33.79","10-24-1989","1989","10","other"
"1989397","LONG BAY","North","-78.683","33.783","10-24-1989","1989","10","other"
"1989399","SOUTH CAROLINA","South","-79.115","33.198","10-25-1989","1989","10","other"
"1989401","SOUTH CAROLINA","South","-79.137","33.22","10-25-1989","1989","10","other"
"1989403","LONG BAY","North","-79.122","33.303","10-25-1989","1989","10","other"
"1989405","LONG BAY","North","-79.12","33.325","10-25-1989","1989","10","other"
"1989407","LONG BAY","North","-79.118","33.345","10-25-1989","1989","10","other"
"1989409","LONG BAY","North","-79.108","33.353","10-25-1989","1989","10","other"
"1989411","LONG BAY","North","-79.12","33.37","10-25-1989","1989","10","other"
"1989413","LONG BAY","North","-79.12","33.32","10-26-1989","1989","10","other"
"1989423","SOUTH CAROLINA","South","-79.648","32.838","11-01-1989","1989","11","other"
"1989425","SOUTH CAROLINA","South","-79.672","32.81","11-01-1989","1989","11","other"
"1989427","SOUTH CAROLINA","South","-79.95","32.597","11-01-1989","1989","11","other"
"1989437","SOUTH CAROLINA","South","-80.18","32.492","11-02-1989","1989","11","other"
"1989445","FLORIDA","South","-81.382","30.333","11-07-1989","1989","11","other"
"1989455","FLORIDA","South","-80.807","28.925","11-08-1989","1989","11","other"
"1989459","FLORIDA","South","-80.82","28.947","11-08-1989","1989","11","other"
"1989461","FLORIDA","South","-80.997","29.232","11-08-1989","1989","11","other"
"1989465","FLORIDA","South","-81.17","29.602","11-09-1989","1989","11","other"
"1989469","GEORGIA","South","-81.432","30.753","11-10-1989","1989","11","other"
"1989471","GEORGIA","South","-81.397","30.777","11-10-1989","1989","11","other"
"1989473","GEORGIA","South","-81.312","30.883","11-10-1989","1989","11","other"
"1989475","GEORGIA","South","-81.308","30.917","11-10-1989","1989","11","other"
"1989485","GEORGIA","South","-81.297","31.043","11-11-1989","1989","11","other"
"1989493","GEORGIA","South","-81.2","31.297","11-11-1989","1989","11","other"
"1989495","GEORGIA","South","-81.158","31.377","11-11-1989","1989","11","other"
"1989497","GEORGIA","South","-81.103","31.432","11-12-1989","1989","11","other"
"1989499","GEORGIA","South","-81.088","31.583","11-12-1989","1989","11","other"
"1989501","GEORGIA","South","-81.067","31.583","11-12-1989","1989","11","other"
"1989511","GEORGIA","South","-80.897","31.843","11-12-1989","1989","11","other"
"1989515","GEORGIA","South","-80.752","31.97","11-13-1989","1989","11","other"
"1989521","SOUTH CAROLINA","South","-80.53","32.238","11-13-1989","1989","11","other"
"1989523","SOUTH CAROLINA","South","-80.467","32.275","11-13-1989","1989","11","other"
"1989525","SOUTH CAROLINA","South","-80.38","32.295","11-13-1989","1989","11","other"
"1989529","SOUTH CAROLINA","South","-80.283","32.397","11-14-1989","1989","11","other"
"1990001","SOUTH CAROLINA","South","-79.673","32.807","04-23-1990","1990","04","historic"
"1990003","SOUTH CAROLINA","South","-79.647","32.84","04-23-1990","1990","04","historic"
"1990005","SOUTH CAROLINA","South","-79.517","32.888","04-23-1990","1990","04","historic"
"1990007","SOUTH CAROLINA","South","-79.438","32.91","04-23-1990","1990","04","historic"
"1990009","SOUTH CAROLINA","South","-79.388","32.947","04-23-1990","1990","04","historic"
"1990011","SOUTH CAROLINA","South","-79.267","32.987","04-23-1990","1990","04","historic"
"1990013","LONG BAY","North","-77.963","33.78","04-24-1990","1990","04","historic"
"1990015","LONG BAY","North","-78.21","33.897","04-24-1990","1990","04","historic"
"1990017","LONG BAY","North","-78.287","33.888","04-24-1990","1990","04","historic"
"1990019","LONG BAY","North","-78.343","33.885","04-24-1990","1990","04","historic"
"1990021","LONG BAY","North","-78.555","33.818","04-24-1990","1990","04","historic"
"1990023","LONG BAY","North","-78.605","33.817","04-24-1990","1990","04","historic"
"1990025","LONG BAY","North","-78.642","33.79","04-25-1990","1990","04","historic"
"1990027","LONG BAY","North","-78.68","33.782","04-25-1990","1990","04","historic"
"1990029","LONG BAY","North","-78.928","33.608","04-25-1990","1990","04","historic"
"1990031","LONG BAY","North","-79.098","33.418","04-25-1990","1990","04","historic"
"1990033","LONG BAY","North","-79.12","33.372","04-25-1990","1990","04","historic"
"1990035","LONG BAY","North","-79.107","33.355","04-25-1990","1990","04","historic"
"1990037","LONG BAY","North","-79.117","33.345","04-26-1990","1990","04","historic"
"1990039","LONG BAY","North","-79.118","33.317","04-26-1990","1990","04","historic"
"1990041","LONG BAY","North","-79.12","33.323","04-26-1990","1990","04","historic"
"1990043","LONG BAY","North","-79.122","33.3","04-26-1990","1990","04","historic"
"1990045","SOUTH CAROLINA","South","-79.132","33.218","04-26-1990","1990","04","historic"
"1990047","SOUTH CAROLINA","South","-79.15","33.137","04-26-1990","1990","04","historic"
"1990049","SOUTH CAROLINA","South","-79.147","33.058","04-26-1990","1990","04","historic"
"1990051","SOUTH CAROLINA","South","-79.155","33.068","04-26-1990","1990","04","historic"
"1990053","SOUTH CAROLINA","South","-79.1","33.057","04-26-1990","1990","04","historic"
"1990055","ONSLOW BAY","North","-77.885","33.712","05-01-1990","1990","05","historic"
"1990057","ONSLOW BAY","North","-77.897","33.737","05-01-1990","1990","05","historic"
"1990059","ONSLOW BAY","North","-77.913","33.79","05-01-1990","1990","05","historic"
"1990061","ONSLOW BAY","North","-77.908","33.912","05-01-1990","1990","05","historic"
"1990063","ONSLOW BAY","North","-77.873","33.96","05-01-1990","1990","05","historic"
"1990065","ONSLOW BAY","North","-77.847","34.068","05-01-1990","1990","05","historic"
"1990067","RALEIGH BAY","North","-75.843","35.137","05-02-1990","1990","05","historic"
"1990069","RALEIGH BAY","North","-75.937","35.09","05-02-1990","1990","05","historic"
"1990071","RALEIGH BAY","North","-76.107","34.985","05-02-1990","1990","05","historic"
"1990073","RALEIGH BAY","North","-76.333","34.802","05-02-1990","1990","05","historic"
"1990075","ONSLOW BAY","North","-76.497","34.497","05-02-1990","1990","05","historic"
"1990077","ONSLOW BAY","North","-76.617","34.653","05-03-1990","1990","05","historic"
"1990079","ONSLOW BAY","North","-77.122","34.608","05-03-1990","1990","05","historic"
"1990081","ONSLOW BAY","North","-77.298","34.505","05-03-1990","1990","05","historic"
"1990083","SOUTH CAROLINA","South","-80.372","32.298","05-08-1990","1990","05","historic"
"1990085","SOUTH CAROLINA","South","-80.463","32.277","05-08-1990","1990","05","historic"
"1990087","SOUTH CAROLINA","South","-80.527","32.237","05-08-1990","1990","05","historic"
"1990089","SOUTH CAROLINA","South","-80.533","32.187","05-08-1990","1990","05","historic"
"1990091","SOUTH CAROLINA","South","-80.752","32.072","05-08-1990","1990","05","historic"
"1990093","GEORGIA","South","-80.748","31.97","05-08-1990","1990","05","historic"
"1990097","GEORGIA","South","-80.89","31.853","05-08-1990","1990","05","historic"
"1990109","SOUTH CAROLINA","South","-80.077","32.558","05-09-1990","1990","05","historic"
"1990111","GEORGIA","South","-81.157","31.38","05-16-1990","1990","05","historic"
"1990113","GEORGIA","South","-81.2","31.307","05-16-1990","1990","05","historic"
"1990115","GEORGIA","South","-81.235","31.215","05-16-1990","1990","05","historic"
"1990125","GEORGIA","South","-81.298","31.043","05-16-1990","1990","05","historic"
"1990133","FLORIDA","South","-81.073","29.39","05-18-1990","1990","05","historic"
"1990139","FLORIDA","South","-80.997","29.232","05-18-1990","1990","05","historic"
"1990141","FLORIDA","South","-80.87","29.022","05-18-1990","1990","05","historic"
"1990143","FLORIDA","South","-80.83","28.958","05-18-1990","1990","05","historic"
"1990145","FLORIDA","South","-80.798","28.912","05-19-1990","1990","05","historic"
"1990147","FLORIDA","South","-80.808","28.925","05-19-1990","1990","05","historic"
"1990149","FLORIDA","South","-81.17","29.598","05-19-1990","1990","05","historic"
"1990153","FLORIDA","South","-81.237","29.763","05-19-1990","1990","05","historic"
"1990157","FLORIDA","South","-81.293","29.96","05-20-1990","1990","05","historic"
"1990165","FLORIDA","South","-81.382","30.33","05-20-1990","1990","05","historic"
"1990171","GEORGIA","South","-81.433","30.753","05-21-1990","1990","05","historic"
"1990173","GEORGIA","South","-81.397","30.777","05-21-1990","1990","05","historic"
"1990175","GEORGIA","South","-81.417","30.752","05-21-1990","1990","05","historic"
"1990177","GEORGIA","South","-81.312","30.883","05-21-1990","1990","05","historic"
"1990179","GEORGIA","South","-81.308","30.917","05-21-1990","1990","05","historic"
"1990181","GEORGIA","South","-81.317","30.927","05-21-1990","1990","05","historic"
"1990183","GEORGIA","South","-81.103","31.433","05-22-1990","1990","05","historic"
"1990185","GEORGIA","South","-81.082","31.463","05-22-1990","1990","05","historic"
"1990187","GEORGIA","South","-81.068","31.585","05-22-1990","1990","05","historic"
"1990189","GEORGIA","South","-81.087","31.583","05-22-1990","1990","05","historic"
"1990199","SOUTH CAROLINA","South","-80.285","32.397","05-23-1990","1990","05","historic"
"1990203","SOUTH CAROLINA","South","-80.177","32.492","05-23-1990","1990","05","historic"
"1990207","SOUTH CAROLINA","South","-79.952","32.597","05-23-1990","1990","05","historic"
"1990209","SOUTH CAROLINA","South","-79.895","32.622","05-23-1990","1990","05","historic"
"1990211","GEORGIA","South","-81.233","31.217","07-18-1990","1990","07","historic"
"1990213","GEORGIA","South","-81.2","31.305","07-18-1990","1990","07","historic"
"1990215","GEORGIA","South","-81.155","31.377","07-18-1990","1990","07","historic"
"1990217","GEORGIA","South","-81.105","31.432","07-18-1990","1990","07","historic"
"1990219","GEORGIA","South","-81.08","31.467","07-18-1990","1990","07","historic"
"1990221","GEORGIA","South","-81.09","31.587","07-18-1990","1990","07","historic"
"1990223","GEORGIA","South","-81.07","31.583","07-18-1990","1990","07","historic"
"1990225","GEORGIA","South","-80.887","31.853","07-18-1990","1990","07","historic"
"1990227","GEORGIA","South","-80.752","31.97","07-19-1990","1990","07","historic"
"1990229","SOUTH CAROLINA","South","-80.753","32.07","07-19-1990","1990","07","historic"
"1990231","SOUTH CAROLINA","South","-80.532","32.187","07-19-1990","1990","07","historic"
"1990233","SOUTH CAROLINA","South","-80.532","32.235","07-19-1990","1990","07","historic"
"1990235","SOUTH CAROLINA","South","-80.467","32.277","07-19-1990","1990","07","historic"
"1990237","SOUTH CAROLINA","South","-80.388","32.293","07-19-1990","1990","07","historic"
"1990241","SOUTH CAROLINA","South","-80.285","32.397","07-19-1990","1990","07","historic"
"1990243","SOUTH CAROLINA","South","-80.177","32.492","07-20-1990","1990","07","historic"
"1990245","SOUTH CAROLINA","South","-80.078","32.557","07-20-1990","1990","07","historic"
"1990247","SOUTH CAROLINA","South","-79.948","32.598","07-20-1990","1990","07","historic"
"1990249","SOUTH CAROLINA","South","-79.895","32.62","07-20-1990","1990","07","historic"
"1990251","SOUTH CAROLINA","South","-79.673","32.805","07-20-1990","1990","07","historic"
"1990253","SOUTH CAROLINA","South","-79.648","32.84","07-24-1990","1990","07","historic"
"1990255","SOUTH CAROLINA","South","-79.513","32.892","07-24-1990","1990","07","historic"
"1990257","SOUTH CAROLINA","South","-79.435","32.913","07-24-1990","1990","07","historic"
"1990259","SOUTH CAROLINA","South","-79.388","32.947","07-24-1990","1990","07","historic"
"1990261","SOUTH CAROLINA","South","-79.267","32.983","07-24-1990","1990","07","historic"
"1990263","SOUTH CAROLINA","South","-79.155","33.068","07-24-1990","1990","07","historic"
"1990265","SOUTH CAROLINA","South","-79.1","33.048","07-24-1990","1990","07","historic"
"1990267","SOUTH CAROLINA","South","-79.147","33.058","07-24-1990","1990","07","historic"
"1990269","SOUTH CAROLINA","South","-79.148","33.137","07-24-1990","1990","07","historic"
"1990271","SOUTH CAROLINA","South","-79.132","33.22","07-24-1990","1990","07","historic"
"1990273","LONG BAY","North","-79.123","33.3","07-25-1990","1990","07","historic"
"1990275","LONG BAY","North","-79.122","33.322","07-25-1990","1990","07","historic"
"1990277","LONG BAY","North","-79.117","33.317","07-25-1990","1990","07","historic"
"1990279","LONG BAY","North","-79.117","33.343","07-25-1990","1990","07","historic"
"1990281","LONG BAY","North","-79.11","33.353","07-25-1990","1990","07","historic"
"1990283","LONG BAY","North","-79.12","33.37","07-25-1990","1990","07","historic"
"1990285","LONG BAY","North","-79.098","33.418","07-25-1990","1990","07","historic"
