"","ABLENNES HIANS","ACANTHOSTRACION QUADRICORNIS","ACHIRUS LINEATUS","ACIPENSER OXYRINCHUS","AETOBATUS NARINARI","ALECTIS CILIARIS","ALOPIAS VULPINUS","ALOSA AESTIVALIS","ALOSA SAPIDISSIMA","ALUTERUS MONOCEROS","ALUTERUS SCHOEPFII","ANCHOA","ANCYLOPSETTA QUADROCELLATA","ANTENNARIUS OCELLATUS","ARCHOSARGUS PROBATOCEPHALUS","ARIOPSIS FELIS","ASTROSCOPUS GUTTATUS","ASTROSCOPUS Y-GRAECUM","BAGRE MARINUS","BAIRDIELLA CHRYSOURA","BALISTES CAPRISCUS","BOTHUS ROBINSI","BREVOORTIA SMITHI","BREVOORTIA TYRANNUS","CALAMUS LEUCOSTEUS","CALLINECTES ORNATUS","CARANX BARTHOLOMAEI","CARANX CRYSOS","CARANX HIPPOS","CARANX RUBER","CARCHARHINUS ACRONOTUS","CARCHARHINUS BREVIPINNA","CARCHARHINUS ISODON","CARCHARHINUS LEUCAS","CARCHARHINUS LIMBATUS","CARCHARHINUS OBSCURUS","CARCHARHINUS PLUMBEUS","CARCHARIAS TAURUS","CENTROPRISTIS OCYURUS","CENTROPRISTIS PHILADELPHICA","CENTROPRISTIS STRIATA","CHAETODIPTERUS FABER","CHILOMYCTERUS SCHOEPFII","CHLOROSCOMBRUS CHRYSURUS","CITHARICHTHYS MACROPS","CITHARICHTHYS SPILOPTERUS","CONGER OCEANICUS","CYNOSCION NEBULOSUS","CYNOSCION NOTHUS","CYNOSCION REGALIS","DACTYLOPTERUS VOLITANS","DASYATIS AMERICANA","DASYATIS CENTROURA","DASYATIS SABINA","DASYATIS SAY","DECAPTERUS PUNCTATUS","DIODON HYSTRIX","DIPLECTRUM FORMOSUM","DIPLODUS HOLBROOKII","DOROSOMA CEPEDIANUM","DOROSOMA PETENENSE","ECHENEIS NAUCRATES","ELOPS SAURUS","EPINEPHELUS ITAJARA","EQUETUS LANCEOLATUS","EQUETUS UMBROSUS","ETROPUS CROSSOTUS","ETROPUS CYCLOSQUAMUS","ETROPUS MICROSTOMUS","ETRUMEUS TERES","EUCINOSTOMUS","GINGLYMOSTOMA CIRRATUM","GOBIESOX STRUMOSUS","GOBIOSOMA BOSC","GOBIOSOMA GINSBURGI","GYMNACHIRUS MELAS","GYMNURA ALTAVELA","GYMNURA MICRURA","HAEMULON AUROLINEATUM","HAEMULON PLUMIERI","HALICHOERES BIVITTATUS","HALICHOERES CAUDALIS","HARENGULA JAGUANA","HETEROPRIACANTHUS CRUENTATUS","HIPPOCAMPUS ERECTUS","HISTRIO HISTRIO","HYPEROGLYPHE PERCIFORMES","HYPLEUROCHILUS GEMINATUS","HYPSOBLENNIUS HENTZ","LABRISOMUS NUCHIPINNIS","LAGOCEPHALUS LAEVIGATUS","LAGODON RHOMBOIDES","LARIMUS FASCIATUS","LEIOSTOMUS XANTHURUS","LEUCORAJA OCELLATA","LOBOTES SURINAMENSIS","LOPHIUS AMERICANUS","LUTJANUS CAMPECHANUS","LUTJANUS SYNAGRIS","MEGALOPS ATLANTICUS","MENIDIA BERYLLINA","MENTICIRRHUS AMERICANUS","MENTICIRRHUS LITTORALIS","MENTICIRRHUS SAXATILIS","MICROPOGONIAS UNDULATUS","MOBULA HYPOSTOMA","MOLA MOLA","MUGIL CEPHALUS","MUGIL CUREMA","MUSTELUS CANIS","MYCTEROPERCA MICROLEPIS","MYLIOBATIS FREMINVILLEI","MYROPHIS PUNCTATUS","NARCINE BRASILIENSIS","OGCOCEPHALUS PARVUS","OGCOCEPHALUS ROSTELLUM","OGCOCEPHALUS VESPERTILIO","OLIGOPLITES SAURUS","OPHICHTHUS GOMESII","OPHICHTHUS OCELLATUS","OPHIDION GRAYI","OPHIDION JOSEPHI","OPHIDION MARGINATUM","OPISTHONEMA OGLINUM","OPSANUS TAU","ORTHOPRISTIS CHRYSOPTERA","PARABLENNIUS MARMOREUS","PARALICHTHYS ALBIGUTTA","PARALICHTHYS DENTATUS","PARALICHTHYS LETHOSTIGMA","PARALICHTHYS SQUAMILENTUS","PEPRILUS PARU","PEPRILUS TRIACANTHUS","POGONIAS CROMIS","POMATOMUS SALTATRIX","PORICHTHYS PLECTRODON","PRIACANTHUS ARENATUS","PRIONOTUS CAROLINUS","PRIONOTUS EVOLANS","PRIONOTUS OPHRYAS","PRIONOTUS RUBIO","PRIONOTUS SCITULUS","PRIONOTUS TRIBULUS","PSENES PELLUCIDUS","RACHYCENTRON CANADUM","RAJA EGLANTERIA","RHINOBATOS LENTIGINOSUS","RHINOPTERA BONASUS","RHIZOPRIONODON TERRAENOVAE","RHOMBOPLITES AURORUBENS","RYPTICUS MACULATUS","SARDA SARDA","SARDINELLA AURITA","SCIAENOPS OCELLATUS","SCOMBER JAPONICUS","SCOMBEROMORUS CAVALLA","SCOMBEROMORUS MACULATUS","SCOMBEROMORUS REGALIS","SCOMBER SCOMBRUS","SCOPHTHALMUS AQUOSUS","SCORPAENA BRASILIENSIS","SCORPAENA CALCARATA","SELAR CRUMENOPHTHALMUS","SELENE SETAPINNIS","SELENE VOMER","SERIOLA ZONATA","SERRANUS SUBLIGARIUS","SPEOCARCINUS CAROLINENSIS","SPHOEROIDES MACULATUS","SPHOEROIDES NEPHELUS","SPHYRAENA GUACHANCHO","SPHYRNA LEWINI","SPHYRNA TIBURO","SQUALUS ACANTHIAS","SQUATINA DUMERIL","STELLIFER LANCEOLATUS","STEPHANOLEPIS HISPIDA","STRONGYLURA MARINA","SYACIUM PAPILLOSUM","SYMPHURUS PLAGIUSA","SYMPHURUS UROSPILUS","SYNGNATHUS FLORIDAE","SYNGNATHUS FUSCUS","SYNGNATHUS LOUISIANAE","SYNGNATHUS SPRINGERI","SYNODUS FOETENS","TAUTOGA ONITIS","TORPEDO NOBILIANA","TRACHINOCEPHALUS MYOPS","TRACHINOTUS CAROLINUS","TRACHURUS LATHAMI","TRICHIURUS LEPTURUS","TRINECTES MACULATUS","UMBRINA COROIDES","UPENEUS PARVUS","UROPHYCIS EARLLII","UROPHYCIS FLORIDANA","UROPHYCIS REGIA","XIPHOPENAEUS KROYERI"
"1989001",0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,357,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,122,0
"1989003",0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0
"1989015",0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1453,0,0,0,0,0,0,0,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,30,0
"1989017",0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,71,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,263,0,0,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,7,0,7,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,21,0
"1989019",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,570,0,0,0,0,0,0,0,49,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,16,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0
"1989021",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,301,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,2558,0,0,0,0,0,0,0,14,0,0,213,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,575,0,21,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0
"1989023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,1,10331,0,0,0,0,0,0,0,24,0,0,3683,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,1,211,0,13,0,0,3,0,0,1,8,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0
"1989029",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,165,0,0,0,0,0,0,0,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
"1989031",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,342,0,0,0,0,0,0,0,45,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0
"1989035",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,12,0,0,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,26,0,1,0,0,0,2,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,211,0,0,0,0,0,2,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0
